cohort,year,event_time,att_log,att_pct,se,n_treated
2007,2007,0,-0.0714,-6.9,0.0039,1
2007,2008,1,0.4739,60.6,0.0059,1
2007,2009,2,0.4893,63.1,0.0064,1
2007,2010,3,0.4725,60.4,0.0072,1
2007,2011,4,0.4394,55.2,0.0084,1
2007,2012,5,0.499,64.7,0.0086,1
2007,2013,6,0.4274,53.3,0.0091,1
2007,2014,7,-0.1401,-13.1,0.0095,1
2007,2015,8,-0.1395,-13.0,0.01,1
2007,2016,9,-0.1223,-11.5,0.0105,1
2007,2017,10,-0.213,-19.2,0.0105,1
2007,2018,11,-0.24,-21.3,0.011,1
2007,2019,12,-0.2756,-24.1,0.0115,1
2007,2020,13,-0.1082,-10.3,0.0167,1
2007,2021,14,0.0733,7.6,0.0127,1
2007,2022,15,0.0949,10.0,0.0122,1
2007,2023,16,0.1793,19.6,0.0128,1
2007,2024,17,0.2424,27.4,0.013,1
2010,2010,0,0.137,14.7,0.0036,1
2010,2011,1,0.0977,10.3,0.0056,1
2010,2012,2,0.1207,12.8,0.0063,1
2010,2013,3,0.0748,7.8,0.007,1
2010,2014,4,0.0154,1.6,0.0076,1
2010,2015,5,0.0199,2.0,0.0082,1
2010,2016,6,0.0132,1.3,0.0084,1
2010,2017,7,-0.0722,-7.0,0.0084,1
2010,2018,8,-0.1446,-13.5,0.009,1
2010,2019,9,-0.1218,-11.5,0.0095,1
2010,2020,10,0.0312,3.2,0.0154,1
2010,2021,11,-0.0888,-8.5,0.0111,1
2010,2022,12,-0.0563,-5.5,0.0107,1
2010,2023,13,-0.1438,-13.4,0.0114,1
2010,2024,14,-0.2366,-21.1,0.0116,1
2021,2020,-1,-0.1843,-16.8,0.0119,4
2021,2021,0,0.1263,13.5,0.0071,4
2021,2022,1,0.1353,14.5,0.0067,4
2021,2023,2,0.0917,9.6,0.0073,4
2021,2024,3,0.1059,11.2,0.0076,4
