metric,year_start,not_applicable,not_available,observed,total,frac_observed
entries_exits,1997,145,1,2516,2662,0.9451540195341849
entries_exits,1998,148,1,2513,2662,0.9440270473328325
entries_exits,1999,173,1,2488,2662,0.9346356123215628
entries_exits,2000,166,0,2496,2662,0.9376408715251691
entries_exits,2001,167,1,2494,2662,0.9368895567242674
entries_exits,2002,166,1,2495,2662,0.9372652141247183
entries_exits,2003,166,2496,0,2662,0.0
entries_exits,2004,161,0,2501,2662,0.939519158527423
entries_exits,2005,156,0,2506,2662,0.941397445529677
entries_exits,2006,141,2,2519,2662,0.9462809917355371
entries_exits,2007,141,3,2518,2662,0.9459053343350864
entries_exits,2008,141,3,2518,2662,0.9459053343350864
entries_exits,2009,134,3,2525,2662,0.9485349361382419
entries_exits,2010,128,3,2531,2662,0.9507888805409467
entries_exits,2011,126,3,2533,2662,0.9515401953418482
entries_exits,2012,124,3,2535,2662,0.9522915101427498
entries_exits,2013,122,3,2537,2662,0.9530428249436514
entries_exits,2014,120,3,2539,2662,0.953794139744553
entries_exits,2015,106,3,2553,2662,0.959053343350864
entries_exits,2016,103,3,2556,2662,0.9601803155522164
entries_exits,2017,100,3,2559,2662,0.9613072877535688
entries_exits,2018,96,5,2561,2662,0.9620586025544703
entries_exits,2019,93,2,2567,2662,0.964312546957175
entries_exits,2020,92,2,2568,2662,0.9646882043576258
entries_exits,2021,92,2,2568,2662,0.9646882043576258
entries_exits,2022,85,2,2575,2662,0.9673178061607813
entries_exits,2023,79,2,2581,2662,0.9695717505634861
entries_exits,2024,76,0,2586,2662,0.97145003756574
interchanges,1997,128,2534,0,2662,0.0
interchanges,1998,125,2534,3,2662,0.0011269722013523666
interchanges,1999,161,1,2500,2662,0.9391435011269722
interchanges,2000,163,0,2499,2662,0.9387678437265214
interchanges,2001,165,1,2496,2662,0.9376408715251691
interchanges,2002,166,2496,0,2662,0.0
interchanges,2003,166,2496,0,2662,0.0
interchanges,2004,161,0,2501,2662,0.939519158527423
interchanges,2005,155,0,2507,2662,0.9417731029301277
interchanges,2006,135,2,2525,2662,0.9485349361382419
interchanges,2007,125,3,2534,2662,0.9519158527422991
interchanges,2008,141,3,2518,2662,0.9459053343350864
interchanges,2009,134,3,2525,2662,0.9485349361382419
interchanges,2010,128,3,2531,2662,0.9507888805409467
interchanges,2011,126,3,2533,2662,0.9515401953418482
interchanges,2012,124,3,2535,2662,0.9522915101427498
interchanges,2013,122,3,2537,2662,0.9530428249436514
interchanges,2014,120,3,2539,2662,0.953794139744553
interchanges,2015,106,3,2553,2662,0.959053343350864
interchanges,2016,103,3,2556,2662,0.9601803155522164
interchanges,2017,100,3,2559,2662,0.9613072877535688
interchanges,2018,96,5,2561,2662,0.9620586025544703
interchanges,2019,93,2,2567,2662,0.964312546957175
interchanges,2020,92,2,2568,2662,0.9646882043576258
interchanges,2021,92,2,2568,2662,0.9646882043576258
interchanges,2022,85,2,2575,2662,0.9673178061607813
interchanges,2023,81,2,2579,2662,0.9688204357625845
interchanges,2024,73,0,2589,2662,0.9725770097670924
